District,Language,School Year,Students,ELLs
New Britain School District                            ,Czech                                             ,2013-14,<=5,<=5
New Britain School District                            ,Farsi                                             ,2013-14,<=5,<=5
New Britain School District                            ,French                                            ,2013-14,14,7
New Britain School District                            ,German                                            ,2013-14,<=5,<=5
New Britain School District                            ,Gujarati                                          ,2013-14,<=5,<=5
New Britain School District                            ,Hindi                                             ,2013-14,<=5,<=5
New Britain School District                            ,Kannada                                           ,2013-14,<=5,<=5
New Britain School District                            ,Hebrew                                            ,2013-14,<=5,<=5
New Britain School District                            ,Lithuanian                                        ,2013-14,<=5,<=5
New Britain School District                            ,Malay(Indonesian)                                 ,2013-14,<=5,<=5
New Britain School District                            ,Marathi                                           ,2013-14,<=5,<=5
New Britain School District                            ,Pashto                                            ,2013-14,8,<=5
New Britain School District                            ,Punjabi                                           ,2013-14,<=5,<=5
New Britain School District                            ,Akan                                              ,2013-14,<=5,<=5
New Britain School District                            ,Pushto                                            ,2013-14,<=5,<=5
New Britain School District                            ,Rumanian                                          ,2013-14,<=5,<=5
New Britain School District                            ,Russian                                           ,2013-14,<=5,<=5
New Britain School District                            ,Serbo-Croatian                                    ,2013-14,71,24
New Britain School District                            ,Somali                                            ,2013-14,6,<=5
New Britain School District                            ,Swahili                                           ,2013-14,<=5,<=5
New Britain School District                            ,Swedish                                           ,2013-14,<=5,<=5
New Britain School District                            ,Pilipino (Filipino)                               ,2013-14,<=5,<=5
New Britain School District                            ,Tamil                                             ,2013-14,<=5,<=5
New Britain School District                            ,Telugu                                            ,2013-14,<=5,<=5
New Britain School District                            ,Thai                                              ,2013-14,7,<=5
New Britain School District                            ,Turkish                                           ,2013-14,<=5,<=5
New Britain School District                            ,Twi/Fante                                         ,2013-14,9,<=5
New Britain School District                            ,Ukrainian                                         ,2013-14,15,7
New Britain School District                            ,Urdu                                              ,2013-14,13,<=5
New Britain School District                            ,Yoruba                                            ,2013-14,<=5,<=5
New Britain School District                            ,Vietnamese                                        ,2013-14,15,10
New Britain School District                            ,Igbo                                              ,2013-14,<=5,<=5
New Britain School District                            ,Creole-Cape Verdean                               ,2013-14,<=5,<=5
New Britain School District                            ,Nepali                                            ,2013-14,<=5,<=5
New Britain School District                            ,Taiwanese                                         ,2013-14,<=5,<=5
New Britain School District                            ,Bangla                                            ,2013-14,<=5,<=5
New Britain School District                            ,Berber                                            ,2013-14,<=5,<=5
New Britain School District                            ,Cantonese                                         ,2013-14,<=5,<=5
New Britain School District                            ,Cebuano                                           ,2013-14,<=5,<=5
New Britain School District                            ,Ewe                                               ,2013-14,<=5,<=5
New Britain School District                            ,Fante                                             ,2013-14,<=5,<=5
New Britain School District                            ,Mandarin                                          ,2013-14,8,<=5
New Britain School District                            ,Oriya                                             ,2013-14,<=5,<=5
New Britain School District                            ,Wolof                                             ,2013-14,<=5,<=5
New Britain School District                            ,Patout                                            ,2013-14,<=5,<=5
New Britain School District                            ,Tagalog                                           ,2013-14,<=5,<=5
New Britain School District                            ,Dinka                                             ,2013-14,<=5,<=5
New Britain School District                            ,Maay                                              ,2013-14,<=5,<=5
New Canaan School District                             ,Spanish                                           ,2013-14,71,9
New Canaan School District                             ,Portuguese                                        ,2013-14,9,<=5
New Canaan School District                             ,Italian                                           ,2013-14,<=5,<=5
New Canaan School District                             ,Polish                                            ,2013-14,<=5,<=5
New Canaan School District                             ,Greek                                             ,2013-14,<=5,<=5
New Canaan School District                             ,Afrikaans                                         ,2013-14,<=5,<=5
New Canaan School District                             ,Albanian                                          ,2013-14,6,<=5
New Canaan School District                             ,Arabic                                            ,2013-14,<=5,<=5
New Canaan School District                             ,Bengali                                           ,2013-14,<=5,<=5
New Canaan School District                             ,Bulgarian                                         ,2013-14,<=5,<=5
New Canaan School District                             ,Dutch                                             ,2013-14,<=5,<=5
New Canaan School District                             ,French                                            ,2013-14,7,<=5
New Canaan School District                             ,German                                            ,2013-14,<=5,<=5
New Canaan School District                             ,Gujarati                                          ,2013-14,<=5,<=5
New Canaan School District                             ,Creole-Haitian                                    ,2013-14,<=5,<=5
New Canaan School District                             ,Hindi                                             ,2013-14,<=5,<=5
New Canaan School District                             ,Hungarian                                         ,2013-14,<=5,<=5
New Canaan School District                             ,Icelandic                                         ,2013-14,<=5,<=5
New Canaan School District                             ,Korean                                            ,2013-14,<=5,<=5
New Canaan School District                             ,Lithuanian                                        ,2013-14,<=5,<=5
New Canaan School District                             ,Malayalam                                         ,2013-14,<=5,<=5
New Canaan School District                             ,Marathi                                           ,2013-14,<=5,<=5
New Canaan School District                             ,Norwegian                                         ,2013-14,<=5,<=5
New Canaan School District                             ,Rumanian                                          ,2013-14,<=5,<=5
New Canaan School District                             ,Russian                                           ,2013-14,12,<=5
New Canaan School District                             ,Slovak                                            ,2013-14,<=5,<=5
New Canaan School District                             ,Swedish                                           ,2013-14,<=5,<=5
New Canaan School District                             ,Pilipino (Filipino)                               ,2013-14,<=5,<=5
New Canaan School District                             ,Turkish                                           ,2013-14,<=5,<=5
New Canaan School District                             ,Twi/Fante                                         ,2013-14,<=5,<=5
New Canaan School District                             ,Ukrainian                                         ,2013-14,<=5,<=5
New Canaan School District                             ,Urdu                                              ,2013-14,<=5,<=5
New Canaan School District                             ,Vietnamese                                        ,2013-14,<=5,<=5
New Canaan School District                             ,Cantonese                                         ,2013-14,<=5,<=5
New Canaan School District                             ,Catalan                                           ,2013-14,<=5,<=5
New Canaan School District                             ,Mandarin                                          ,2013-14,24,<=5
New Canaan School District                             ,Kiswhali                                          ,2013-14,<=5,<=5
New Canaan School District                             ,Georgian                                          ,2013-14,<=5,<=5
New Fairfield School District                          ,Spanish                                           ,2013-14,38,16
New Fairfield School District                          ,Portuguese                                        ,2013-14,10,6
New Fairfield School District                          ,Hmong                                             ,2013-14,<=5,<=5
New Fairfield School District                          ,Italian                                           ,2013-14,<=5,<=5
New Fairfield School District                          ,Polish                                            ,2013-14,<=5,<=5
New Fairfield School District                          ,Greek                                             ,2013-14,<=5,<=5
New Fairfield School District                          ,Albanian                                          ,2013-14,11,7
New Fairfield School District                          ,Arabic                                            ,2013-14,<=5,<=5
New Fairfield School District                          ,Czech                                             ,2013-14,<=5,<=5
New Fairfield School District                          ,Dutch                                             ,2013-14,<=5,<=5
New Fairfield School District                          ,German                                            ,2013-14,<=5,<=5
New Fairfield School District                          ,Hindi                                             ,2013-14,<=5,<=5
New Fairfield School District                          ,Hungarian                                         ,2013-14,<=5,<=5
New Fairfield School District                          ,Kannada                                           ,2013-14,<=5,<=5
New Fairfield School District                          ,Rumanian                                          ,2013-14,<=5,<=5
New Fairfield School District                          ,Russian                                           ,2013-14,<=5,<=5
New Fairfield School District                          ,Serbo-Croatian                                    ,2013-14,<=5,<=5
New Fairfield School District                          ,Swedish                                           ,2013-14,<=5,<=5
New Fairfield School District                          ,Tamil                                             ,2013-14,<=5,<=5
New Fairfield School District                          ,Vietnamese                                        ,2013-14,<=5,<=5
New Fairfield School District                          ,Mandarin                                          ,2013-14,<=5,<=5
New Hartford School District                           ,Spanish                                           ,2013-14,<=5,<=5
New Hartford School District                           ,Polish                                            ,2013-14,<=5,<=5
New Hartford School District                           ,German                                            ,2013-14,<=5,<=5
New Hartford School District                           ,Ukrainian                                         ,2013-14,<=5,<=5
New Hartford School District                           ,Vietnamese                                        ,2013-14,<=5,<=5
New Hartford School District                           ,Mandarin                                          ,2013-14,<=5,<=5
New Haven School District                              ,Spanish                                           ,2013-14,4738,2464
New Haven School District                              ,Portuguese                                        ,2013-14,8,<=5
New Haven School District                              ,Lao                                               ,2013-14,8,<=5
New Haven School District                              ,Khmer(Cambodian)                                  ,2013-14,<=5,<=5
New Haven School District                              ,Italian                                           ,2013-14,<=5,<=5
New Haven School District                              ,Polish                                            ,2013-14,7,<=5
New Haven School District                              ,Afrikaans                                         ,2013-14,<=5,<=5
New Haven School District                              ,Albanian                                          ,2013-14,<=5,<=5
New Haven School District                              ,Arabic                                            ,2013-14,123,77
New Haven School District                              ,Bengali                                           ,2013-14,7,<=5
New Haven School District                              ,Bulgarian                                         ,2013-14,<=5,<=5
New Haven School District                              ,Dari                                              ,2013-14,<=5,<=5
New Haven School District                              ,Danish                                            ,2013-14,<=5,<=5
New Haven School District                              ,Dutch                                             ,2013-14,<=5,<=5
New Haven School District                              ,Estonian                                          ,2013-14,<=5,<=5
New Haven School District                              ,Farsi                                             ,2013-14,<=5,<=5
New Haven School District                              ,Finnish                                           ,2013-14,<=5,<=5
New Haven School District                              ,French                                            ,2013-14,55,27
New Haven School District                              ,Ganda                                             ,2013-14,<=5,<=5
New Haven School District                              ,German                                            ,2013-14,<=5,<=5
New Haven School District                              ,Gujarati                                          ,2013-14,13,6
New Haven School District                              ,Creole-Haitian                                    ,2013-14,<=5,<=5
New Haven School District                              ,Hausa                                             ,2013-14,<=5,<=5
New Haven School District                              ,Hindi                                             ,2013-14,13,<=5
New Haven School District                              ,Icelandic                                         ,2013-14,<=5,<=5
New Haven School District                              ,Japanese                                          ,2013-14,9,<=5
New Haven School District                              ,Korean                                            ,2013-14,16,7
New Haven School District                              ,Hebrew                                            ,2013-14,<=5,<=5
New Haven School District                              ,Malay(Indonesian)                                 ,2013-14,<=5,<=5
New Haven School District                              ,Marathi                                           ,2013-14,<=5,<=5
New Haven School District                              ,Norwegian                                         ,2013-14,<=5,<=5
New Haven School District                              ,Pashto                                            ,2013-14,7,6
New Haven School District                              ,Punjabi                                           ,2013-14,<=5,<=5
New Haven School District                              ,Russian                                           ,2013-14,9,<=5
New Haven School District                              ,Serbo-Croatian                                    ,2013-14,<=5,<=5
New Haven School District                              ,Somali                                            ,2013-14,<=5,<=5
New Haven School District                              ,Swahili                                           ,2013-14,25,22
New Haven School District                              ,Syriac                                            ,2013-14,<=5,<=5
New Haven School District                              ,Pilipino (Filipino)                               ,2013-14,<=5,<=5
New Haven School District                              ,Tamil                                             ,2013-14,<=5,<=5
New Haven School District                              ,Telugu                                            ,2013-14,<=5,<=5
New Haven School District                              ,Thai                                              ,2013-14,7,<=5
New Haven School District                              ,Tigrinya                                          ,2013-14,<=5,<=5
New Haven School District                              ,Turkish                                           ,2013-14,19,8
New Haven School District                              ,Twi/Fante                                         ,2013-14,<=5,<=5
New Haven School District                              ,Ukrainian                                         ,2013-14,<=5,<=5
New Haven School District                              ,Urdu                                              ,2013-14,<=5,<=5
New Haven School District                              ,Yoruba                                            ,2013-14,<=5,<=5
New Haven School District                              ,Vietnamese                                        ,2013-14,9,<=5
New Haven School District                              ,Amharic                                           ,2013-14,<=5,<=5
New Haven School District                              ,Igbo                                              ,2013-14,<=5,<=5
New Haven School District                              ,Nepali                                            ,2013-14,<=5,<=5
New Haven School District                              ,Zulu                                              ,2013-14,<=5,<=5
New Haven School District                              ,Bangla                                            ,2013-14,<=5,<=5
New Haven School District                              ,Basa                                              ,2013-14,<=5,<=5
New Haven School District                              ,Bikol                                             ,2013-14,<=5,<=5
New Haven School District                              ,Cantonese                                         ,2013-14,18,12
New Haven School District                              ,Ewe                                               ,2013-14,<=5,<=5
New Haven School District                              ,Kinyarwanda                                       ,2013-14,6,6
New Haven School District                              ,Mandarin                                          ,2013-14,58,22
New Haven School District                              ,Mende                                             ,2013-14,<=5,<=5
New Haven School District                              ,Mongolian                                         ,2013-14,<=5,<=5
New Haven School District                              ,Wolof                                             ,2013-14,<=5,<=5
New Haven School District                              ,Kiscoohil                                         ,2013-14,<=5,<=5
New Haven School District                              ,Kiswhali                                          ,2013-14,<=5,<=5
New Haven School District                              ,Kru                                               ,2013-14,<=5,<=5
New Haven School District                              ,Mondingo                                          ,2013-14,<=5,<=5
New Haven School District                              ,Patwa                                             ,2013-14,<=5,<=5
New Haven School District                              ,Tajik                                             ,2013-14,<=5,<=5
Newington School District                              ,Spanish                                           ,2013-14,137,39
Newington School District                              ,Portuguese                                        ,2013-14,32,8
Newington School District                              ,Lao                                               ,2013-14,<=5,<=5
Newington School District                              ,Italian                                           ,2013-14,<=5,<=5
Newington School District                              ,Polish                                            ,2013-14,160,27
Newington School District                              ,Greek                                             ,2013-14,<=5,<=5
Newington School District                              ,Albanian                                          ,2013-14,25,6
Newington School District                              ,Arabic                                            ,2013-14,13,<=5
Newington School District                              ,Armenian                                          ,2013-14,<=5,<=5
Newington School District                              ,Assyrian                                          ,2013-14,<=5,<=5
Newington School District                              ,Bengali                                           ,2013-14,<=5,<=5
Newington School District                              ,Bulgarian                                         ,2013-14,<=5,<=5
Newington School District                              ,French                                            ,2013-14,<=5,<=5
Newington School District                              ,German                                            ,2013-14,<=5,<=5
Newington School District                              ,Gujarati                                          ,2013-14,33,<=5
Newington School District                              ,Hindi                                             ,2013-14,<=5,<=5
Newington School District                              ,Hungarian                                         ,2013-14,<=5,<=5
Newington School District                              ,Ilongot                                           ,2013-14,<=5,<=5
Newington School District                              ,Korean                                            ,2013-14,10,<=5
Newington School District                              ,Lithuanian                                        ,2013-14,<=5,<=5
Newington School District                              ,Malay(Indonesian)                                 ,2013-14,<=5,<=5
Newington School District                              ,Malayalam                                         ,2013-14,38,10
Newington School District                              ,Marathi                                           ,2013-14,<=5,<=5
Newington School District                              ,Pashto                                            ,2013-14,<=5,<=5
Newington School District                              ,Punjabi                                           ,2013-14,8,<=5
Newington School District                              ,Pushto                                            ,2013-14,<=5,<=5
Newington School District                              ,Rumanian                                          ,2013-14,<=5,<=5
Newington School District                              ,Russian                                           ,2013-14,30,7
Newington School District                              ,Serbo-Croatian                                    ,2013-14,<=5,<=5
Newington School District                              ,Somali                                            ,2013-14,<=5,<=5
Newington School District                              ,Swahili                                           ,2013-14,<=5,<=5
Newington School District                              ,Pilipino (Filipino)                               ,2013-14,7,<=5
Newington School District                              ,Tamil                                             ,2013-14,<=5,<=5
Newington School District                              ,Telugu                                            ,2013-14,13,<=5
Newington School District                              ,Thai                                              ,2013-14,<=5,<=5
Newington School District                              ,Turkish                                           ,2013-14,<=5,<=5
Newington School District                              ,Ukrainian                                         ,2013-14,18,<=5
Newington School District                              ,Urdu                                              ,2013-14,34,6
Newington School District                              ,Vietnamese                                        ,2013-14,56,17
Newington School District                              ,Igbo                                              ,2013-14,<=5,<=5
Newington School District                              ,Nepali                                            ,2013-14,<=5,<=5
Newington School District                              ,Bangla                                            ,2013-14,<=5,<=5
Newington School District                              ,Berber                                            ,2013-14,<=5,<=5
Newington School District                              ,Cantonese                                         ,2013-14,10,<=5
Newington School District                              ,Cebuano                                           ,2013-14,<=5,<=5
Newington School District                              ,Mandarin                                          ,2013-14,19,<=5
Newington School District                              ,Mongolian                                         ,2013-14,<=5,<=5
Newington School District                              ,Persian                                           ,2013-14,<=5,<=5
Newington School District                              ,Patwa                                             ,2013-14,<=5,<=5
Newington School District                              ,Tagalog                                           ,2013-14,9,<=5
Newington School District                              ,Talango                                           ,2013-14,<=5,<=5
Newington School District                              ,Guyanese Creole                                   ,2013-14,<=5,<=5
New London School District                             ,Spanish                                           ,2013-14,810,525
New London School District                             ,Portuguese                                        ,2013-14,<=5,<=5
New London School District                             ,Greek                                             ,2013-14,<=5,<=5
New London School District                             ,Albanian                                          ,2013-14,<=5,<=5
New London School District                             ,Arabic                                            ,2013-14,6,<=5
New London School District                             ,Danish                                            ,2013-14,<=5,<=5
New London School District                             ,French                                            ,2013-14,<=5,<=5
New London School District                             ,German                                            ,2013-14,<=5,<=5
New London School District                             ,Gujarati                                          ,2013-14,<=5,<=5
New London School District                             ,Creole-Haitian                                    ,2013-14,84,44
New London School District                             ,Hindi                                             ,2013-14,<=5,<=5
New London School District                             ,Ilongot                                           ,2013-14,<=5,<=5
New London School District                             ,Korean                                            ,2013-14,<=5,<=5
New London School District                             ,Akan                                              ,2013-14,<=5,<=5
New London School District                             ,Russian                                           ,2013-14,<=5,<=5
New London School District                             ,Urdu                                              ,2013-14,<=5,<=5
New London School District                             ,Yoruba                                            ,2013-14,<=5,<=5
New London School District                             ,Vietnamese                                        ,2013-14,<=5,<=5
New London School District                             ,Creole-Cape Verdean                               ,2013-14,<=5,<=5
New London School District                             ,Nepali                                            ,2013-14,<=5,<=5
New London School District                             ,Bangla                                            ,2013-14,<=5,<=5
New London School District                             ,Bikol                                             ,2013-14,<=5,<=5
New London School District                             ,Cantonese                                         ,2013-14,<=5,<=5
New London School District                             ,Chuukese                                          ,2013-14,<=5,<=5
New London School District                             ,Mandarin                                          ,2013-14,<=5,<=5
New London School District                             ,Tibetan                                           ,2013-14,<=5,<=5
New London School District                             ,Patois                                            ,2013-14,<=5,<=5
New London School District                             ,Talango                                           ,2013-14,<=5,<=5
New London School District                             ,Guyanese Creole                                   ,2013-14,<=5,<=5
New Milford School District                            ,Spanish                                           ,2013-14,181,79
New Milford School District                            ,Portuguese                                        ,2013-14,54,15
New Milford School District                            ,Lao                                               ,2013-14,<=5,<=5
New Milford School District                            ,Khmer(Cambodian)                                  ,2013-14,<=5,<=5
New Milford School District                            ,Italian                                           ,2013-14,<=5,<=5
New Milford School District                            ,Polish                                            ,2013-14,<=5,<=5
New Milford School District                            ,Afrikaans                                         ,2013-14,<=5,<=5
New Milford School District                            ,Albanian                                          ,2013-14,<=5,<=5
New Milford School District                            ,Arabic                                            ,2013-14,12,6
New Milford School District                            ,Bengali                                           ,2013-14,14,<=5
New Milford School District                            ,Bulgarian                                         ,2013-14,<=5,<=5
New Milford School District                            ,Farsi                                             ,2013-14,<=5,<=5
New Milford School District                            ,French                                            ,2013-14,<=5,<=5
New Milford School District                            ,German                                            ,2013-14,<=5,<=5
New Milford School District                            ,Gujarati                                          ,2013-14,<=5,<=5
New Milford School District                            ,Hindi                                             ,2013-14,<=5,<=5
New Milford School District                            ,Hungarian                                         ,2013-14,<=5,<=5
New Milford School District                            ,Kongo                                             ,2013-14,<=5,<=5
New Milford School District                            ,Korean                                            ,2013-14,<=5,<=5
New Milford School District                            ,Malayalam                                         ,2013-14,<=5,<=5
New Milford School District                            ,Marathi                                           ,2013-14,<=5,<=5
New Milford School District                            ,Pashto                                            ,2013-14,<=5,<=5
New Milford School District                            ,Punjabi                                           ,2013-14,<=5,<=5
New Milford School District                            ,Rumanian                                          ,2013-14,<=5,<=5
New Milford School District                            ,Russian                                           ,2013-14,<=5,<=5
New Milford School District                            ,Serbo-Croatian                                    ,2013-14,<=5,<=5
New Milford School District                            ,Slovak                                            ,2013-14,<=5,<=5
New Milford School District                            ,Pilipino (Filipino)                               ,2013-14,<=5,<=5
New Milford School District                            ,Tamil                                             ,2013-14,<=5,<=5
New Milford School District                            ,Thai                                              ,2013-14,<=5,<=5
New Milford School District                            ,Turkish                                           ,2013-14,<=5,<=5
New Milford School District                            ,Ukrainian                                         ,2013-14,<=5,<=5
New Milford School District                            ,Vietnamese                                        ,2013-14,<=5,<=5
New Milford School District                            ,Bangla                                            ,2013-14,<=5,<=5
New Milford School District                            ,Burmese                                           ,2013-14,<=5,<=5
New Milford School District                            ,Catalan                                           ,2013-14,<=5,<=5
New Milford School District                            ,Mandarin                                          ,2013-14,23,<=5
New Milford School District                            ,Persian                                           ,2013-14,<=5,<=5
New Milford School District                            ,Tagalog                                           ,2013-14,<=5,<=5
Newtown School District                                ,Spanish                                           ,2013-14,27,10
Newtown School District                                ,Portuguese                                        ,2013-14,9,<=5
Newtown School District                                ,Khmer(Cambodian)                                  ,2013-14,<=5,<=5
Newtown School District                                ,Polish                                            ,2013-14,<=5,<=5
Newtown School District                                ,Greek                                             ,2013-14,<=5,<=5
Newtown School District                                ,Albanian                                          ,2013-14,14,<=5
Newtown School District                                ,Arabic                                            ,2013-14,<=5,<=5
Newtown School District                                ,Bengali                                           ,2013-14,<=5,<=5
Newtown School District                                ,Dutch                                             ,2013-14,<=5,<=5
Newtown School District                                ,Estonian                                          ,2013-14,<=5,<=5
Newtown School District                                ,Farsi                                             ,2013-14,<=5,<=5
Newtown School District                                ,French                                            ,2013-14,<=5,<=5
Newtown School District                                ,German                                            ,2013-14,<=5,<=5
Newtown School District                                ,Gujarati                                          ,2013-14,<=5,<=5
Newtown School District                                ,Hungarian                                         ,2013-14,<=5,<=5
Newtown School District                                ,Korean                                            ,2013-14,<=5,<=5
Newtown School District                                ,Hebrew                                            ,2013-14,<=5,<=5
Newtown School District                                ,Marathi                                           ,2013-14,<=5,<=5
Newtown School District                                ,Punjabi                                           ,2013-14,<=5,<=5
Newtown School District                                ,Pushto                                            ,2013-14,<=5,<=5
Newtown School District                                ,Rumanian                                          ,2013-14,<=5,<=5
Newtown School District                                ,Russian                                           ,2013-14,<=5,<=5
Newtown School District                                ,Tamil                                             ,2013-14,<=5,<=5
Newtown School District                                ,Thai                                              ,2013-14,<=5,<=5
Newtown School District                                ,Ukrainian                                         ,2013-14,<=5,<=5
Newtown School District                                ,Urdu                                              ,2013-14,<=5,<=5
Newtown School District                                ,Bangla                                            ,2013-14,<=5,<=5
Newtown School District                                ,Cantonese                                         ,2013-14,<=5,<=5
Newtown School District                                ,Catalan                                           ,2013-14,<=5,<=5
Newtown School District                                ,Mandarin                                          ,2013-14,9,<=5
Newtown School District                                ,Mongolian                                         ,2013-14,<=5,<=5
Norfolk School District                                ,Hungarian                                         ,2013-14,<=5,<=5
North Branford School District                         ,Spanish                                           ,2013-14,13,<=5
North Branford School District                         ,Portuguese                                        ,2013-14,<=5,<=5
North Branford School District                         ,Khmer(Cambodian)                                  ,2013-14,<=5,<=5
North Branford School District                         ,Italian                                           ,2013-14,<=5,<=5
North Branford School District                         ,Polish                                            ,2013-14,8,<=5
North Branford School District                         ,Greek                                             ,2013-14,<=5,<=5
North Branford School District                         ,Albanian                                          ,2013-14,<=5,<=5
North Branford School District                         ,Arabic                                            ,2013-14,12,<=5
North Branford School District                         ,French                                            ,2013-14,<=5,<=5
North Branford School District                         ,Gujarati                                          ,2013-14,<=5,<=5
North Branford School District                         ,Korean                                            ,2013-14,<=5,<=5
North Branford School District                         ,Russian                                           ,2013-14,<=5,<=5
North Branford School District                         ,Serbo-Croatian                                    ,2013-14,<=5,<=5
North Branford School District                         ,Pilipino (Filipino)                               ,2013-14,<=5,<=5
North Branford School District                         ,Urdu                                              ,2013-14,<=5,<=5
North Branford School District                         ,Cantonese                                         ,2013-14,<=5,<=5
North Branford School District                         ,Cebuano                                           ,2013-14,<=5,<=5
North Branford School District                         ,Kurdish                                           ,2013-14,<=5,<=5
North Branford School District                         ,Mandarin                                          ,2013-14,7,<=5
North Branford School District                         ,Tibetan                                           ,2013-14,<=5,<=5
North Canaan School District                           ,Spanish                                           ,2013-14,16,<=5
North Canaan School District                           ,Ukrainian                                         ,2013-14,<=5,<=5
North Canaan School District                           ,Cantonese                                         ,2013-14,<=5,<=5
North Haven School District                            ,Spanish                                           ,2013-14,35,16
North Haven School District                            ,Portuguese                                        ,2013-14,<=5,<=5
North Haven School District                            ,Lao                                               ,2013-14,<=5,<=5
North Haven School District                            ,Khmer(Cambodian)                                  ,2013-14,8,<=5
North Haven School District                            ,Italian                                           ,2013-14,6,<=5
North Haven School District                            ,Polish                                            ,2013-14,<=5,<=5
North Haven School District                            ,Albanian                                          ,2013-14,<=5,<=5
North Haven School District                            ,Arabic                                            ,2013-14,20,<=5
North Haven School District                            ,Farsi                                             ,2013-14,<=5,<=5
North Haven School District                            ,French                                            ,2013-14,<=5,<=5
North Haven School District                            ,German                                            ,2013-14,<=5,<=5
