Year,Status,Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Chicago-Joliet-Naperville, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Boston-Cambridge-Quincy, MA-NH","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Atlanta-Sandy Springs-Marietta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","San Diego-Carlsbad-San Marcos, CA","San Jose-Sunnyvale-Santa Clara, CA","Minneapolis-St. Paul-Bloomington, MN-WI","Phoenix-Mesa-Glendale, AZ","Orlando-Kissimmee-Sanford, FL","Sacramento--Arden-Arcade--Roseville, CA","Detroit-Warren-Livonia, MI","Tampa-St. Petersburg-Clearwater, FL","Las Vegas-Paradise, NV","Denver-Aurora-Broomfield, CO","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Towson, MD","Providence-New Bedford-Fall River, RI-MA","Austin-Round Rock-San Marcos, TX","Columbus, OH","Fresno, CA","San Antonio-New Braunfels, TX","Bridgeport-Stamford-Norwalk, CT","Stockton, CA","Charlotte-Gastonia-Rock Hill, NC-SC","Jacksonville, FL","Raleigh-Cary, NC","Honolulu, HI","Hartford-West Hartford-East Hartford, CT","El Paso, TX","St. Louis, MO-IL","Nashville-Davidson--Murfreesboro--Franklin, TN","Salt Lake City, UT","Kansas City, MO-KS","Cleveland-Elyria-Mentor, OH","Oxnard-Thousand Oaks-Ventura, CA","Bakersfield-Delano, CA","Cape Coral-Fort Myers, FL","Worcester, MA","Virginia Beach-Norfolk-Newport News, VA-NC","Indianapolis-Carmel, IN","Cincinnati-Middletown, OH-KY-IN",Non-CBSA,Other & Unknown
2011,Naturalization,Taiwan,5065,501,1299,30,107,374,125,86,158,138,89,41,176,143,86,425,21,34,32,48,17,13,36,26,50,24,9,62,13,5,21,10,6,12,7,26,36,6,6,7,7,12,17,7,19,D,D,7,4,10,14,16,644
2011,Naturalization,Tajikistan,155,45,7,D,4,D,D,-,D,-,D,4,6,D,D,4,D,8,-,7,-,3,D,19,11,D,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,21
2011,Naturalization,Tanzania,516,28,19,17,9,14,35,14,33,23,22,14,16,6,D,6,18,5,20,3,4,7,5,-,-,8,D,D,17,-,D,3,-,4,D,8,-,D,D,D,6,-,4,3,-,-,D,4,-,5,-,5,117
2011,Naturalization,Thailand,5299,181,552,96,116,169,147,118,66,107,78,59,164,75,89,52,350,40,32,248,32,40,125,33,54,31,24,13,14,196,21,11,152,21,13,13,54,D,6,22,18,14,24,13,8,11,D,8,17,6,14,79,1466
2011,Naturalization,Togo,1523,247,9,D,67,3,211,12,15,14,83,47,8,D,7,D,109,13,-,D,D,12,3,21,6,11,6,6,12,-,5,8,-,37,3,15,4,22,D,11,4,10,11,6,-,-,3,D,15,18,15,11,392
2011,Naturalization,Tonga,251,-,25,-,-,40,-,D,D,8,D,-,18,11,4,11,-,7,-,8,-,D,D,D,9,-,-,-,-,-,D,-,D,D,-,-,12,-,-,-,-,36,-,-,-,D,-,-,-,-,-,D,48
2011,Naturalization,Trinidad and Tobago,5014,2277,40,482,44,10,157,133,121,24,151,150,24,16,19,10,20,24,164,5,10,101,11,8,3,116,15,9,3,-,10,21,D,18,20,18,7,23,3,D,4,-,5,4,D,4,18,3,31,6,7,54,606
2011,Naturalization,Tunisia,377,52,11,22,12,12,30,5,8,9,4,21,4,D,D,3,3,4,20,D,8,14,-,3,D,7,3,-,3,D,6,-,D,3,-,-,D,D,-,-,-,D,4,D,-,-,-,-,3,D,D,D,83
2011,Naturalization,Turkey,3100,779,183,144,88,124,120,97,53,56,76,177,52,9,28,49,24,17,37,3,12,31,14,18,7,20,8,21,16,-,15,17,D,13,16,9,D,19,D,13,19,4,4,11,5,5,6,17,10,17,7,16,609
2011,Naturalization,Turkmenistan,146,21,9,4,D,6,4,5,-,3,3,4,13,-,D,4,D,D,D,4,-,-,D,4,4,D,-,-,-,3,D,D,-,-,-,-,-,D,-,-,-,8,D,D,-,-,D,-,-,D,-,-,30
2011,Naturalization,Turks and Caicos Islands,36,5,-,20,-,-,3,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3
2011,Naturalization,Tuvalu,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
