Year,Status,Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Glendale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee-Sanford, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Denver-Aurora-Broomfield, CO","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock-San Marcos, TX","San Antonio-New Braunfels, TX","El Paso, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","Bridgeport-Stamford-Norwalk, CT","Indianapolis-Carmel, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Hartford-West Hartford-East Hartford, CT","Kansas City, MO-KS","Salt Lake City, UT","Raleigh-Cary, NC","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Buffalo-Niagara Falls, NY","Stockton, CA","Tucson, AZ","Fresno, CA","San Juan-Caguas-Guaynabo, PR","Oxnard-Thousand Oaks-Ventura, CA",Non-CBSA,Other & Unknown
2012,Legal Permanent Resident,Gabon,197,20,6,D,10,D,D,14,5,3,14,D,9,-,D,-,8,D,-,3,4,D,4,4,D,-,D,D,-,D,D,D,14,D,-,-,-,D,3,-,-,-,-,-,-,4,-,4,-,-,-,D,47
2012,Legal Permanent Resident,Gambia,1159,290,9,3,69,10,4,8,28,11,115,3,9,D,112,D,8,26,3,31,15,D,6,10,-,5,D,D,-,14,39,-,17,D,-,11,D,9,3,31,-,4,D,5,4,-,D,-,-,-,-,9,226
2012,Legal Permanent Resident,Georgia,1341,763,95,13,40,28,18,4,11,7,9,3,60,21,8,D,D,7,6,5,5,6,4,9,5,8,D,3,D,D,6,3,D,15,-,D,3,-,4,-,-,D,D,D,9,3,-,-,D,-,-,6,140
2012,Legal Permanent Resident,Germany,5812,746,313,193,209,158,211,126,94,142,122,92,117,132,165,59,56,138,58,39,43,34,79,44,29,48,42,27,31,39,26,30,19,31,15,16,25,25,23,26,D,25,15,11,19,10,11,19,7,10,18,104,1739
2012,Legal Permanent Resident,Ghana,10592,3272,88,33,1425,347,53,115,219,178,479,12,344,11,80,53,56,37,32,157,165,27,36,250,19,24,15,16,3,69,448,5,69,19,22,65,181,29,10,34,D,14,16,429,30,13,10,5,3,-,D,38,1534
2012,Legal Permanent Resident,Gibraltar,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,Legal Permanent Resident,Greece,1054,282,55,28,37,81,19,17,9,82,9,8,37,11,11,5,7,8,3,3,3,5,21,15,4,7,D,8,-,3,D,D,10,8,3,D,10,3,D,D,D,5,D,D,6,D,-,D,-,D,D,8,200
2012,Legal Permanent Resident,Greenland,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
2012,Legal Permanent Resident,Grenada,671,495,3,18,14,D,D,13,4,9,5,D,3,-,4,-,-,3,5,D,D,D,3,16,-,-,-,-,-,D,D,-,D,3,-,D,4,D,-,-,-,-,5,-,-,-,-,-,-,-,-,11,40
2012,Legal Permanent Resident,Guatemala,10341,849,2172,447,484,320,459,291,193,317,166,181,56,40,62,373,135,10,35,44,45,123,51,61,25,118,36,47,D,28,6,D,334,104,11,49,10,22,30,19,6,10,22,39,8,D,21,8,8,11,47,221,2182
2012,Legal Permanent Resident,Guinea,1656,811,8,5,132,20,10,12,18,24,89,D,93,3,27,-,9,7,-,44,4,4,3,9,D,-,6,D,-,7,76,-,9,D,31,-,D,5,5,4,-,D,5,3,-,-,D,D,-,-,-,D,162
